gender,occupation,city_category,stay_years,marital_status,purchase_amount,quantity,age_group,product_category,payment_method
F,15,B,3,0,156.26,2,51-55,Beleza,Dinheiro
M,0,C,2,0,184.1,2,0-17,Alimentos,Dinheiro
M,10,C,1,0,188.7,2,36-45,Alimentos,Dinheiro
M,1,B,4,1,201.69,3,18-25,Casa,PIX
F,8,A,2,0,321.26,1,26-35,Eletronicos,Boleto
M,15,C,0,1,282.61,2,51-55,Brinquedos,Cartao_Debito
F,4,C,4,1,267.88,1,18-25,Beleza,PIX
M,7,B,0,1,86.58,1,46-50,Roupas,PIX
M,12,A,0,1,223.82,1,46-50,Eletronicos,PIX
F,4,B,1,0,328.81,1,55+,Esportes,Boleto
M,15,A,0,0,181.3,2,46-50,Alimentos,Cartao_Debito
F,5,C,1,0,149.98,2,18-25,Roupas,Cartao_Debito
F,6,A,1,0,169.91,5,26-35,Casa,PIX
M,6,A,3,1,91.93,1,36-45,Esportes,PIX
F,12,C,2,0,543.19,3,46-50,Eletronicos,Cartao_Debito
M,17,B,4,0,38.72,5,26-35,Esportes,PIX
M,13,A,1,0,409.27,2,46-50,Esportes,Boleto
M,6,B,4,0,97.08,5,18-25,Beleza,Cartao_Debito
F,13,B,1,1,264.47,5,46-50,Casa,Cartao_Debito
M,17,B,2,0,114.33,3,51-55,Alimentos,Dinheiro
M,9,C,2,0,125.98,3,26-35,Eletronicos,Dinheiro
F,9,A,0,0,260.4,2,36-45,Esportes,PIX
F,9,A,2,0,257.42,5,36-45,Esportes,PIX
M,12,C,4,1,246.82,3,46-50,Esportes,PIX
M,14,C,4,1,246.99,5,36-45,Alimentos,PIX
F,10,B,4,1,125.69,4,36-45,Eletronicos,PIX
F,15,C,3,1,139.48,2,46-50,Beleza,PIX
M,2,B,3,0,381.35,3,18-25,Eletronicos,Boleto
M,14,A,2,1,286.48,3,46-50,Eletronicos,Cartao_Debito
M,20,B,2,1,79.59,3,55+,Alimentos,Dinheiro
F,7,C,3,1,162.9,4,26-35,Beleza,PIX
F,20,A,4,1,118.32,1,26-35,Beleza,PIX
F,18,B,1,1,242.67,1,46-50,Casa,Dinheiro
M,1,B,3,1,314.65,4,18-25,Eletronicos,PIX
M,1,A,2,1,121.52,3,0-17,Esportes,PIX
M,6,A,0,0,183.67,1,26-35,Eletronicos,PIX
M,15,A,4,0,247.9,4,36-45,Casa,Dinheiro
M,13,C,3,1,43.88,5,46-50,Casa,Dinheiro
M,20,C,0,0,126.52,2,55+,Brinquedos,Cartao_Debito
M,11,C,2,1,70.59,2,36-45,Brinquedos,Dinheiro
M,6,C,2,1,226.63,4,26-35,Brinquedos,Dinheiro
M,18,B,0,1,116.31,5,0-17,Alimentos,PIX
M,0,A,4,1,122.13,5,18-25,Eletronicos,Cartao_Debito
M,16,C,2,0,53.36,3,51-55,Beleza,Dinheiro
F,3,B,4,1,216.37,1,18-25,Brinquedos,PIX
M,18,A,3,1,223.01,5,55+,Brinquedos,Dinheiro
M,12,B,4,0,81.3,4,46-50,Eletronicos,Dinheiro
F,4,A,4,1,100.01,5,36-45,Roupas,Cartao_Credito
M,16,C,2,1,110.24,1,55+,Beleza,Boleto
M,9,A,4,1,176.33,1,46-50,Beleza,Boleto
M,14,B,2,1,163.05,2,55+,Beleza,Cartao_Debito
M,16,A,2,1,272.92,3,51-55,Eletronicos,Dinheiro
M,8,A,3,1,358.73,5,26-35,Eletronicos,Cartao_Credito
F,10,A,4,1,608.41,1,26-35,Beleza,Cartao_Debito
F,1,B,1,1,226.81,1,26-35,Beleza,Dinheiro
M,12,B,1,1,136.29,3,46-50,Roupas,PIX
M,14,A,3,1,221.81,2,0-17,Alimentos,PIX
M,10,A,3,0,230.92,3,26-35,Roupas,Cartao_Credito
M,16,C,4,0,655.88,2,51-55,Eletronicos,PIX
M,9,A,0,0,178.73,5,26-35,Casa,PIX
F,15,C,0,1,284.93,5,46-50,Roupas,Cartao_Debito
F,6,C,0,1,163.92,3,46-50,Roupas,Cartao_Debito
M,7,C,3,1,292.8,2,36-45,Eletronicos,Dinheiro
F,7,A,2,1,31.04,5,36-45,Beleza,Cartao_Debito
F,12,C,1,0,349.06,1,46-50,Esportes,Boleto
M,0,B,1,1,103.36,3,26-35,Eletronicos,PIX
F,16,A,2,0,126.48,2,51-55,Alimentos,Dinheiro
M,18,A,4,1,194.78,1,51-55,Beleza,PIX
M,11,C,2,1,452.95,5,46-50,Brinquedos,Cartao_Credito
F,14,A,3,1,61.35,4,36-45,Beleza,Dinheiro
M,2,A,1,0,370.39,1,0-17,Eletronicos,Boleto
M,2,A,3,0,288.19,1,18-25,Eletronicos,PIX
F,10,A,3,0,893.23,4,26-35,Brinquedos,Cartao_Credito
F,20,A,3,1,409.98,3,55+,Eletronicos,Cartao_Debito
F,17,C,0,1,386.25,1,51-55,Brinquedos,Boleto
F,14,C,3,0,289.49,3,51-55,Eletronicos,Dinheiro
F,0,A,1,0,105.15,5,0-17,Alimentos,PIX
F,13,B,4,0,61.7,4,36-45,Roupas,Boleto
F,9,B,1,1,324.24,3,26-35,Casa,Cartao_Credito
M,5,C,1,1,173.5,4,26-35,Brinquedos,PIX
M,3,A,1,0,81.69,3,18-25,Eletronicos,PIX
F,3,A,0,1,213.81,2,0-17,Alimentos,Boleto
F,4,A,1,1,99.5,3,18-25,Roupas,PIX
F,8,A,4,1,127.33,3,46-50,Alimentos,Cartao_Credito
F,2,C,2,1,332.31,2,0-17,Eletronicos,Dinheiro
M,0,A,0,1,292.34,1,18-25,Esportes,PIX
M,5,C,2,1,105.64,4,26-35,Brinquedos,PIX
F,8,B,2,0,296.54,3,26-35,Roupas,PIX
M,17,A,1,1,173.0,3,51-55,Roupas,Dinheiro
F,9,A,2,1,353.51,2,26-35,Eletronicos,Cartao_Debito
M,20,A,3,1,155.25,2,51-55,Alimentos,PIX
F,2,A,1,1,1006.67,5,0-17,Eletronicos,PIX
M,0,C,1,0,363.39,2,0-17,Alimentos,Boleto
M,19,B,0,0,150.44,2,55+,Eletronicos,Boleto
M,18,C,2,1,118.34,3,51-55,Alimentos,PIX
F,0,B,3,1,108.45,1,0-17,Alimentos,Cartao_Debito
M,16,A,3,1,385.98,5,55+,Esportes,Cartao_Credito
F,7,B,0,0,239.4,3,36-45,Alimentos,Cartao_Debito
M,9,C,2,1,133.15,4,26-35,Alimentos,Dinheiro
F,1,B,2,0,263.93,3,18-25,Casa,Dinheiro
M,0,A,0,1,364.69,3,18-25,Eletronicos,PIX
F,20,B,2,1,313.23,1,55+,Alimentos,Cartao_Credito
F,12,A,3,1,262.91,5,36-45,Eletronicos,Dinheiro
M,13,B,1,0,91.82,2,46-50,Eletronicos,Dinheiro
M,7,C,3,0,116.75,1,26-35,Beleza,Cartao_Credito
M,16,C,2,0,256.71,2,26-35,Eletronicos,PIX
M,19,B,3,1,638.54,2,51-55,Roupas,Cartao_Credito
F,6,B,1,1,581.34,1,26-35,Esportes,Boleto
M,2,B,3,1,656.45,5,18-25,Eletronicos,PIX
M,1,B,1,1,165.74,5,0-17,Casa,Dinheiro
F,20,C,2,1,318.83,1,36-45,Roupas,Cartao_Debito
F,18,C,1,0,293.35,4,51-55,Casa,PIX
M,12,B,4,0,71.72,2,46-50,Alimentos,Dinheiro
F,13,A,3,0,243.32,4,46-50,Beleza,Cartao_Debito
F,8,B,0,1,137.28,5,36-45,Beleza,PIX
F,12,B,1,1,89.4,2,36-45,Beleza,Cartao_Debito
M,14,A,3,1,96.4,1,46-50,Eletronicos,PIX
M,12,B,0,1,169.23,4,46-50,Beleza,PIX
M,10,C,1,0,182.36,5,26-35,Casa,PIX
M,12,A,3,0,768.49,5,46-50,Alimentos,Cartao_Credito
F,6,A,1,1,318.65,3,26-35,Alimentos,Boleto
M,19,B,0,1,252.1,4,51-55,Eletronicos,Dinheiro
M,20,A,3,0,201.34,2,55+,Alimentos,Boleto
F,11,B,4,0,750.91,4,36-45,Beleza,Cartao_Credito
M,17,A,4,1,89.34,3,55+,Eletronicos,Boleto
F,2,A,1,0,245.42,2,55+,Casa,Dinheiro
M,13,A,4,1,104.43,3,51-55,Roupas,Dinheiro
M,20,A,3,1,278.08,1,46-50,Esportes,PIX
F,0,A,1,0,376.36,3,0-17,Roupas,Boleto
M,8,A,2,0,324.94,2,26-35,Eletronicos,Cartao_Credito
F,1,C,2,1,87.68,3,18-25,Beleza,PIX
M,2,B,4,0,238.85,4,26-35,Alimentos,PIX
M,18,C,3,0,287.28,3,51-55,Esportes,PIX
F,15,C,3,0,289.05,1,51-55,Eletronicos,Dinheiro
F,11,B,1,0,289.0,3,36-45,Eletronicos,Boleto
F,3,A,1,1,66.34,2,18-25,Eletronicos,Cartao_Credito
M,7,B,4,0,117.19,3,26-35,Brinquedos,Dinheiro
M,12,A,4,0,41.99,4,26-35,Eletronicos,Cartao_Credito
M,11,B,2,0,215.86,2,36-45,Beleza,PIX
F,5,A,0,1,214.54,4,0-17,Casa,Cartao_Credito
M,12,B,0,1,160.49,3,0-17,Beleza,Cartao_Debito
F,6,B,0,0,33.57,5,26-35,Roupas,Dinheiro
F,2,B,4,0,221.11,2,0-17,Roupas,Cartao_Debito
M,7,A,0,1,346.45,1,18-25,Eletronicos,Cartao_Credito
F,16,B,4,1,214.82,3,46-50,Roupas,Cartao_Debito
F,18,A,0,0,423.84,3,0-17,Eletronicos,Cartao_Credito
F,0,B,4,0,180.76,3,0-17,Roupas,PIX
F,5,A,0,0,242.72,2,26-35,Beleza,Cartao_Debito
M,14,B,4,1,227.88,1,51-55,Esportes,Dinheiro
M,17,A,2,1,137.78,4,55+,Casa,Cartao_Credito
M,18,C,4,0,118.79,3,55+,Brinquedos,Dinheiro
F,19,B,2,1,130.55,1,51-55,Esportes,PIX
M,16,C,0,1,125.12,3,46-50,Alimentos,Dinheiro
F,19,B,3,0,733.89,5,18-25,Alimentos,PIX
F,11,A,1,0,1130.88,4,26-35,Roupas,Cartao_Credito
M,5,A,3,0,305.15,2,18-25,Eletronicos,Cartao_Credito
F,17,A,4,0,256.7,1,55+,Eletronicos,PIX
F,5,A,3,0,71.22,1,26-35,Beleza,Dinheiro
M,18,A,1,1,385.63,5,36-45,Beleza,Dinheiro
F,16,C,1,0,175.31,4,55+,Brinquedos,Dinheiro
M,13,C,1,0,107.06,4,51-55,Brinquedos,Boleto
M,8,C,3,0,237.57,2,0-17,Beleza,PIX
F,6,B,1,0,542.56,2,26-35,Brinquedos,Cartao_Credito
M,1,A,3,0,302.32,1,18-25,Eletronicos,Boleto
M,2,B,2,0,440.53,2,0-17,Beleza,Cartao_Credito
M,15,B,0,0,59.51,4,46-50,Brinquedos,Cartao_Debito
F,14,A,1,1,633.88,4,51-55,Eletronicos,Cartao_Debito
M,20,C,2,0,327.16,1,55+,Esportes,Boleto
F,0,B,1,1,170.56,4,0-17,Brinquedos,Cartao_Debito
F,15,A,0,0,357.14,5,55+,Eletronicos,Boleto
M,15,B,2,0,588.03,1,36-45,Esportes,Cartao_Debito
M,0,A,3,0,439.02,1,0-17,Alimentos,Cartao_Credito
F,3,A,3,1,36.97,3,0-17,Brinquedos,Cartao_Debito
F,1,A,0,0,185.65,3,0-17,Alimentos,Dinheiro
F,16,A,4,1,685.53,3,51-55,Eletronicos,Cartao_Credito
F,7,C,1,0,266.45,2,18-25,Casa,Cartao_Debito
F,7,B,4,0,178.61,1,26-35,Roupas,PIX
M,15,A,1,0,176.82,5,36-45,Alimentos,PIX
M,4,B,2,0,327.4,2,18-25,Esportes,Boleto
M,9,B,4,1,72.05,2,26-35,Beleza,PIX
M,1,B,4,0,488.02,3,0-17,Esportes,PIX
F,2,A,2,1,399.54,1,26-35,Esportes,Cartao_Credito
M,7,A,3,0,819.87,5,18-25,Esportes,Cartao_Credito
F,18,A,0,1,269.36,5,51-55,Brinquedos,PIX
M,2,B,4,0,209.77,5,18-25,Casa,PIX
F,9,B,4,0,43.25,2,26-35,Beleza,PIX
M,19,B,2,1,300.16,5,51-55,Casa,Cartao_Credito
F,9,B,4,0,259.67,3,26-35,Beleza,Cartao_Credito
F,16,B,1,0,524.62,4,51-55,Beleza,Cartao_Credito
M,5,B,1,0,184.56,4,26-35,Brinquedos,Cartao_Credito
M,5,A,2,1,30.4,3,26-35,Roupas,Dinheiro
M,3,B,2,0,284.03,4,18-25,Eletronicos,PIX
M,20,A,2,1,527.1,5,51-55,Eletronicos,Cartao_Credito
F,16,A,3,1,294.13,4,51-55,Eletronicos,Cartao_Debito
F,19,C,1,0,84.16,4,55+,Alimentos,Dinheiro
M,13,A,4,1,205.07,3,51-55,Alimentos,Cartao_Debito
F,17,A,2,1,132.11,1,55+,Beleza,Cartao_Debito
M,11,B,4,0,72.02,2,46-50,Eletronicos,Cartao_Credito
F,13,B,2,1,57.39,5,46-50,Beleza,PIX
F,20,A,3,0,300.99,1,18-25,Eletronicos,Dinheiro
M,6,C,0,1,225.36,5,26-35,Esportes,PIX
M,12,B,4,1,167.7,5,46-50,Beleza,Dinheiro
M,5,B,3,1,252.69,4,18-25,Eletronicos,Boleto
F,1,A,4,1,199.51,2,0-17,Beleza,Cartao_Debito
M,9,A,1,1,284.02,1,46-50,Eletronicos,PIX
M,17,B,3,1,398.35,4,46-50,Casa,Cartao_Credito
M,14,B,3,0,342.47,4,55+,Casa,Boleto
M,1,C,3,1,65.18,5,36-45,Beleza,Cartao_Debito
M,18,B,3,1,279.62,3,51-55,Eletronicos,Dinheiro
F,15,B,2,0,307.43,4,18-25,Brinquedos,Cartao_Debito
M,13,B,3,0,253.06,3,36-45,Eletronicos,PIX
F,6,B,4,0,511.47,1,26-35,Eletronicos,Cartao_Debito
F,8,A,3,1,256.06,2,26-35,Esportes,PIX
M,1,B,0,1,252.25,2,18-25,Esportes,Dinheiro
M,14,C,0,1,60.52,5,46-50,Eletronicos,Dinheiro
F,13,B,2,1,1222.78,2,46-50,Beleza,Dinheiro
M,7,B,4,0,511.38,1,26-35,Eletronicos,Cartao_Credito
M,2,B,2,0,446.7,1,0-17,Eletronicos,Dinheiro
F,7,A,2,0,281.36,2,18-25,Esportes,PIX
M,11,A,4,1,316.21,4,46-50,Eletronicos,Cartao_Credito
F,17,C,2,1,465.46,4,46-50,Esportes,Cartao_Credito
M,11,A,1,1,135.79,3,46-50,Casa,PIX
M,2,A,3,0,122.09,3,26-35,Esportes,Cartao_Credito
F,13,A,1,1,178.83,2,36-45,Alimentos,PIX
F,4,B,3,1,162.07,1,18-25,Roupas,PIX
M,16,A,3,0,359.81,3,46-50,Eletronicos,Cartao_Debito
M,8,A,3,1,184.99,1,26-35,Beleza,Cartao_Debito
F,2,B,1,1,248.01,4,18-25,Esportes,Boleto
M,14,A,3,1,174.74,1,46-50,Brinquedos,PIX
F,14,A,1,0,415.6,2,26-35,Alimentos,Boleto
F,20,B,2,1,495.78,3,55+,Roupas,Cartao_Credito
F,11,A,0,0,173.69,3,46-50,Beleza,Dinheiro
F,19,B,0,1,441.1,1,55+,Beleza,Boleto
F,10,A,4,1,362.37,5,26-35,Eletronicos,Boleto
M,8,B,1,0,178.55,1,36-45,Esportes,Cartao_Debito
M,17,B,2,1,168.38,1,51-55,Alimentos,PIX
M,6,B,1,1,347.83,3,26-35,Eletronicos,Cartao_Credito
M,13,C,2,0,237.11,5,26-35,Alimentos,PIX
F,6,A,2,0,199.42,2,0-17,Eletronicos,Cartao_Debito
F,2,B,2,1,83.64,2,0-17,Eletronicos,PIX
M,19,C,0,1,471.03,3,55+,Eletronicos,Cartao_Credito
F,2,C,3,1,133.95,2,26-35,Roupas,Dinheiro
M,11,C,4,1,204.75,3,36-45,Eletronicos,PIX
M,4,B,4,0,185.61,4,26-35,Eletronicos,Cartao_Credito
M,2,A,3,1,548.53,1,0-17,Eletronicos,Cartao_Credito
M,6,B,3,0,147.6,2,46-50,Roupas,Cartao_Debito
M,14,A,0,1,248.15,1,46-50,Beleza,PIX
F,17,C,3,0,65.71,4,51-55,Roupas,Dinheiro
M,5,C,0,0,419.76,4,26-35,Esportes,Dinheiro
F,15,A,2,0,71.19,4,46-50,Alimentos,PIX
F,11,B,3,1,281.67,2,36-45,Brinquedos,PIX
M,1,B,3,0,70.66,2,18-25,Eletronicos,Cartao_Debito
M,16,B,0,0,159.09,4,55+,Alimentos,Dinheiro
F,10,A,0,1,180.91,4,26-35,Brinquedos,Cartao_Credito
F,7,B,1,1,274.96,2,36-45,Eletronicos,PIX
M,19,B,1,0,227.57,1,51-55,Alimentos,PIX
M,9,B,4,1,88.31,5,26-35,Alimentos,Dinheiro
F,10,B,2,0,167.46,1,26-35,Roupas,Boleto
F,7,B,3,0,124.09,5,26-35,Brinquedos,Boleto
F,17,B,0,1,175.54,2,36-45,Beleza,PIX
F,3,C,0,0,154.68,1,0-17,Beleza,Cartao_Credito
M,8,A,3,1,487.7,4,26-35,Eletronicos,Cartao_Credito
F,4,B,2,0,533.56,5,26-35,Esportes,Cartao_Credito
F,6,B,4,1,35.5,2,26-35,Beleza,Cartao_Debito
F,17,B,0,0,746.32,5,46-50,Brinquedos,Boleto
M,2,B,3,0,583.79,3,18-25,Eletronicos,Cartao_Credito
F,5,B,0,0,80.64,1,18-25,Alimentos,PIX
F,5,B,2,1,220.7,4,26-35,Casa,Dinheiro
F,20,C,4,0,181.42,3,55+,Beleza,Dinheiro
F,19,C,3,0,377.33,4,51-55,Roupas,Boleto
M,17,A,2,0,186.54,4,55+,Casa,PIX
M,8,B,2,0,132.9,5,26-35,Casa,Cartao_Debito
M,14,A,4,1,125.66,3,46-50,Beleza,Cartao_Debito
F,10,A,1,1,128.88,5,36-45,Alimentos,Cartao_Debito
F,1,C,3,0,72.51,1,0-17,Casa,Cartao_Credito
M,3,B,0,1,109.81,5,18-25,Eletronicos,PIX
M,10,B,4,1,395.62,1,46-50,Beleza,Cartao_Credito
M,14,C,3,0,223.09,1,46-50,Alimentos,Cartao_Debito
M,12,A,2,1,1183.16,5,46-50,Eletronicos,Boleto
F,15,C,2,1,327.76,5,46-50,Beleza,PIX
F,7,A,3,0,544.88,2,26-35,Beleza,Cartao_Credito
F,16,B,2,1,570.31,2,46-50,Alimentos,Boleto
M,18,C,3,1,166.02,5,55+,Beleza,Cartao_Debito
M,19,B,3,0,694.17,2,51-55,Esportes,Boleto
F,15,A,4,0,261.56,4,46-50,Beleza,Dinheiro
M,6,A,4,1,46.4,3,26-35,Esportes,PIX
F,11,C,4,0,327.72,1,36-45,Alimentos,Boleto
M,16,C,0,0,113.27,1,51-55,Casa,PIX
F,5,A,2,1,273.82,2,26-35,Eletronicos,Cartao_Debito
F,6,A,3,1,328.2,3,26-35,Roupas,Dinheiro
F,3,C,1,1,206.22,3,0-17,Beleza,Dinheiro
M,6,A,4,0,142.84,5,26-35,Brinquedos,Cartao_Debito
F,13,B,1,0,75.92,2,46-50,Beleza,PIX
M,13,C,3,0,154.9,4,46-50,Alimentos,Dinheiro
M,19,C,3,0,55.57,5,55+,Casa,Dinheiro
M,11,C,0,1,248.46,5,46-50,Alimentos,Dinheiro
F,16,A,1,1,105.06,2,18-25,Roupas,PIX
M,17,A,3,1,525.34,5,0-17,Alimentos,Cartao_Credito
M,3,C,0,1,152.64,1,18-25,Alimentos,Dinheiro
M,5,B,0,1,259.0,1,26-35,Eletronicos,Dinheiro
F,12,C,0,1,338.37,3,36-45,Beleza,Boleto
M,13,C,0,1,107.99,2,36-45,Eletronicos,Cartao_Credito
F,3,B,1,1,336.12,5,18-25,Casa,PIX
F,11,B,3,0,208.39,2,46-50,Alimentos,Dinheiro
F,20,A,2,1,1037.99,5,51-55,Roupas,Boleto
M,7,C,2,1,126.34,1,36-45,Beleza,Dinheiro
M,6,C,1,1,429.59,5,26-35,Eletronicos,Boleto
F,7,A,2,1,171.27,2,26-35,Esportes,Cartao_Debito
M,18,A,2,0,57.69,3,36-45,Brinquedos,PIX
F,0,C,3,1,100.36,4,0-17,Alimentos,PIX
M,1,B,0,0,152.69,2,18-25,Alimentos,Dinheiro
M,15,C,4,0,95.7,1,51-55,Beleza,Dinheiro
F,2,A,1,1,320.13,1,18-25,Roupas,Cartao_Debito
F,3,A,0,0,163.52,4,0-17,Beleza,Dinheiro
M,18,A,1,0,134.54,3,51-55,Beleza,Dinheiro
M,10,B,4,0,251.56,2,55+,Eletronicos,PIX
M,1,B,2,1,205.69,4,18-25,Eletronicos,PIX
M,1,B,2,1,89.26,4,0-17,Beleza,PIX
F,4,C,2,1,129.8,1,26-35,Beleza,Dinheiro
M,0,C,4,1,354.7,3,36-45,Eletronicos,Cartao_Credito
M,2,B,0,0,230.25,1,0-17,Esportes,PIX
F,6,A,2,1,158.83,3,36-45,Beleza,Dinheiro
M,12,A,3,1,176.72,5,26-35,Beleza,Boleto
F,15,C,3,0,709.8,4,18-25,Eletronicos,Cartao_Debito
M,8,C,4,1,68.08,2,26-35,Alimentos,PIX
M,12,A,1,0,291.0,2,36-45,Eletronicos,PIX
M,14,B,0,1,116.34,3,46-50,Alimentos,Cartao_Debito
M,19,A,0,1,548.95,4,51-55,Eletronicos,Boleto
F,15,B,4,1,40.97,2,51-55,Alimentos,Cartao_Debito
M,4,A,0,1,183.7,5,46-50,Casa,PIX
F,17,B,1,1,638.6,5,55+,Casa,Boleto
F,12,B,3,0,196.16,4,46-50,Casa,PIX
F,3,B,3,0,115.06,3,18-25,Brinquedos,PIX
F,14,B,1,1,160.74,3,51-55,Beleza,Dinheiro
M,18,B,1,1,306.5,3,51-55,Esportes,Boleto
F,20,C,3,1,566.14,3,55+,Beleza,Dinheiro
M,20,B,2,0,63.69,5,55+,Alimentos,Cartao_Debito
F,4,A,2,1,165.72,3,18-25,Casa,Boleto
F,17,C,0,1,152.78,1,55+,Esportes,PIX
F,20,B,1,0,255.85,3,18-25,Eletronicos,Cartao_Debito
F,5,C,2,0,428.04,5,26-35,Brinquedos,Boleto
F,10,B,2,0,394.16,5,18-25,Eletronicos,Cartao_Debito
M,19,A,4,0,115.84,4,51-55,Eletronicos,Cartao_Credito
F,10,C,4,1,472.54,2,36-45,Alimentos,Cartao_Credito
F,20,A,4,1,594.53,2,46-50,Casa,Cartao_Credito
F,5,C,4,0,137.29,4,18-25,Brinquedos,Boleto
M,6,B,1,0,79.84,2,18-25,Alimentos,Cartao_Debito
M,6,A,4,1,161.93,3,0-17,Roupas,Cartao_Debito
M,2,B,4,1,68.24,5,26-35,Casa,PIX
M,5,B,3,1,91.08,2,51-55,Brinquedos,Dinheiro
F,18,B,1,1,835.79,4,46-50,Roupas,Cartao_Credito
F,11,C,4,1,167.75,4,36-45,Casa,Cartao_Credito
M,16,B,1,1,181.44,1,51-55,Alimentos,PIX
M,19,B,4,1,122.31,4,55+,Alimentos,Dinheiro
M,6,B,3,1,464.33,1,26-35,Esportes,Cartao_Credito
M,17,A,4,1,184.86,3,51-55,Casa,Dinheiro
M,10,B,1,1,294.21,1,46-50,Eletronicos,Dinheiro
F,3,C,1,0,83.09,4,18-25,Esportes,PIX
F,2,C,3,1,140.24,5,18-25,Alimentos,PIX
F,0,B,4,0,143.87,4,0-17,Beleza,PIX
F,3,B,3,0,297.13,1,26-35,Eletronicos,Cartao_Debito
M,8,B,3,0,167.61,1,26-35,Roupas,PIX
M,9,B,1,0,300.57,3,26-35,Esportes,Dinheiro
F,1,A,1,1,546.49,1,0-17,Roupas,Cartao_Credito
M,7,B,3,1,151.91,4,36-45,Eletronicos,Dinheiro
F,19,A,1,0,718.91,2,36-45,Alimentos,Cartao_Credito
M,4,A,1,1,307.32,5,18-25,Eletronicos,PIX
F,20,B,1,1,126.18,3,51-55,Beleza,Dinheiro
M,14,C,4,0,251.68,1,46-50,Eletronicos,Dinheiro
F,14,A,2,0,271.8,3,18-25,Esportes,Dinheiro
M,4,B,0,0,374.9,1,26-35,Eletronicos,Boleto
F,7,A,0,1,208.09,4,36-45,Beleza,Dinheiro
F,1,A,0,1,287.08,1,26-35,Eletronicos,PIX
M,3,A,1,0,197.75,5,51-55,Beleza,Cartao_Debito
F,8,B,3,1,206.37,4,36-45,Alimentos,Cartao_Credito
F,16,B,0,0,156.33,2,51-55,Alimentos,Cartao_Debito
F,0,B,4,1,104.55,2,0-17,Brinquedos,PIX
M,3,B,4,0,325.45,2,26-35,Eletronicos,PIX
M,19,B,4,1,201.37,3,51-55,Alimentos,Boleto
M,7,B,1,0,640.45,2,18-25,Eletronicos,Cartao_Credito
F,14,B,2,1,327.06,2,46-50,Beleza,Cartao_Credito
F,14,C,4,0,346.42,1,51-55,Esportes,Boleto
M,0,B,4,0,138.99,5,0-17,Esportes,PIX
M,11,B,1,1,113.45,5,46-50,Alimentos,Cartao_Debito
M,10,A,1,0,100.75,1,46-50,Esportes,PIX
M,12,C,4,1,205.02,3,46-50,Alimentos,Cartao_Credito
F,15,B,2,1,167.02,2,36-45,Beleza,PIX
F,9,C,1,1,173.4,3,26-35,Alimentos,Dinheiro
F,10,C,0,1,390.86,1,46-50,Beleza,Boleto
M,18,B,0,1,122.97,1,55+,Esportes,Dinheiro
F,15,A,0,1,142.47,4,46-50,Beleza,Cartao_Debito
M,5,B,2,1,295.11,5,36-45,Eletronicos,PIX
M,3,A,2,1,477.62,5,18-25,Eletronicos,Dinheiro
F,7,C,0,0,110.02,2,26-35,Beleza,PIX
M,7,B,4,0,133.98,5,26-35,Brinquedos,Cartao_Debito
M,9,A,0,0,121.84,5,36-45,Casa,PIX
F,9,B,0,1,189.83,4,36-45,Beleza,Boleto
F,15,B,3,0,338.42,4,51-55,Brinquedos,Dinheiro
F,9,B,3,1,501.59,1,36-45,Eletronicos,Cartao_Credito
M,12,C,3,1,314.14,2,26-35,Eletronicos,Cartao_Credito
M,15,B,4,0,223.98,5,55+,Alimentos,Dinheiro
F,10,A,2,0,151.56,3,0-17,Beleza,PIX
M,13,B,1,1,324.38,5,51-55,Esportes,Boleto
M,2,B,0,0,204.44,2,18-25,Esportes,Boleto
F,2,A,4,0,201.28,2,26-35,Eletronicos,Cartao_Credito
M,2,C,1,1,391.13,1,18-25,Eletronicos,Boleto
F,6,B,2,1,41.8,5,26-35,Brinquedos,PIX
F,10,B,2,0,72.18,5,36-45,Brinquedos,Boleto
F,2,A,0,1,248.76,5,26-35,Alimentos,PIX
F,7,B,1,0,355.76,4,26-35,Eletronicos,Cartao_Credito
M,7,C,0,1,307.83,5,26-35,Brinquedos,Boleto
F,7,A,0,1,87.95,3,26-35,Eletronicos,Dinheiro
M,12,B,3,0,274.44,2,36-45,Brinquedos,Dinheiro
M,8,A,2,0,238.98,2,36-45,Eletronicos,PIX
M,3,B,4,1,244.35,5,26-35,Alimentos,PIX
M,11,A,4,1,296.09,5,36-45,Eletronicos,Boleto
F,10,C,4,1,551.59,4,18-25,Brinquedos,PIX
F,13,B,1,0,134.61,1,36-45,Alimentos,PIX
M,14,A,4,0,265.34,3,46-50,Eletronicos,PIX
M,4,B,0,1,279.38,2,26-35,Eletronicos,Cartao_Debito
M,15,B,0,0,169.8,5,46-50,Brinquedos,Cartao_Credito
M,16,B,4,1,186.16,1,46-50,Beleza,PIX
M,13,C,1,1,356.83,2,36-45,Eletronicos,PIX
M,12,C,4,0,558.11,4,46-50,Eletronicos,Boleto
F,16,C,1,1,130.1,5,46-50,Eletronicos,PIX
F,17,C,1,1,186.61,2,0-17,Beleza,PIX
F,19,A,3,0,442.66,1,55+,Eletronicos,Cartao_Credito
F,13,B,1,0,156.72,4,36-45,Alimentos,Boleto
F,19,B,4,1,378.04,2,46-50,Roupas,PIX
F,1,C,1,0,158.58,2,18-25,Alimentos,PIX
M,15,C,3,1,354.69,2,36-45,Casa,Boleto
M,16,A,2,0,171.63,3,51-55,Beleza,Dinheiro
M,9,C,1,1,157.94,2,36-45,Roupas,Boleto
